word,phonetic,translation,tag
amateur,'æmәtә,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家",ielts
amaze,ә'meiz,vt. 使吃惊,ielts
amazing,ә'meiziŋ,a. 令人惊异的,ielts
ambassador,æm'bæsәdә,"n. 大使\n[法] 大使, 使节, 代理",ielts
ambiguity,.æmbi'gju:iti,"n. 不明确, 含糊\n[计] 二义性; 多义性",ielts
ambiguous,æm'bigjuәs,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",ielts
ambition,æm'biʃәn,"n. 野心, 志向",ielts
ambitious,æm'biʃәs,"a. 有野心的, 抱负不凡的, 雄心勃勃的",ielts
ambulance,'æmbjulәns,n. 救护车\n[医] 救护车,ielts
amend,ә'mend,"vt. 修改, 改善, 改良\nvi. 改过自新",ielts
amends,ә'mendz,n. 赔偿\n[经] 赔偿,ielts
America,ә'merikә,"n. 美洲, 美国",ielts
American,ә'merikәn,"n. 美国人\na. 美国的, 美洲的",ielts
amid,ә'mid,"prep. 在其间, 在其中\n[经] 在...中",ielts
amidst,ә'midst,prep. 在...当中,ielts
ammunition,.æmju'niʃәn,"n. 军火, 弹药\n[机] 弹药",ielts
amount,ә'maunt,"n. 总数, 总额\nvi. 总计, 等同",ielts
amphibian,æm'fibiәn,"a. 两栖类的, 水陆两用的\nn. 两栖动物, 水旱两生植物, 水陆两用飞机",ielts
ample,'æmpl,"a. 大量的, 充足的, 丰富的",ielts
amplify,'æmplifai,"vt. 增强, 放大, 扩大, 详述\nvi. 引伸",ielts
amuse,ә'mju:z,"vt. 消遣, 娱乐, 使发笑",ielts
analogy,ә'nælәdʒi,"n. 相似, 类似\n[计] 模拟",ielts
analysis,ә'nælәsis,n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,ielts
analytical,.ænә'litikl,"a. 分析的, 善于分析的, 解析的\n[机] 分析的",ielts
ancestor,'ænsestә,"n. 祖先, 祖宗",ielts
anchor,'æŋkә,"n. 锚\nvt. 抛锚停泊, 使固定\n[计] 锚",ielts
ancient,'einʃәnt,"a. 古代的, 古老的, 年老的, 旧的",ielts
anecdote,'ænikdәut,"n. 轶事, 奇闻",ielts
anger,'æŋgә,"n. 忿怒\nvt. 激怒, 使发怒\nvi. 发怒",ielts
angry,'æŋgri,"a. 生气的, 愤怒的",ielts
animal,'ænimәl,n. 动物\n[医] 动物,ielts
animals,,"n. 动物, 动物世界；牲畜（animal的复数形式）",ielts
ankle,'æŋkl,"n. 踝\n[医] 踝, 踝关节",ielts
annihilate,ә'naiәleit,"vt. 消灭, 废止",ielts
anniversary,æni'vә:sәri,n. 周年纪念,ielts
announcement,ә'naunsmәnt,"n. 公告, 发表, 告知\n[经] 通告, 布告, 公告",ielts
annoy,ә'nɒi,"vt. 使恼怒, 骚扰",ielts
annual,'ænjuәl,"n. 年刊, 年报\na. 每年的, 一年一次的, 全年的, 一年生的",ielts
annuity,ә'nju:iti,"n. 年金, 年金保险, 年金领受权\n[医] 年金, 年俸",ielts
anonymous,ә'nɒnimәs,"a. 姓氏不详的, 无名的, 无特色的\n[计] 无记录",ielts
antagonism,æn'tægәnizm,"n. 对立, 敌对, 敌意\n[化] 拮抗作用; 消效作用",ielts
antarctic,ænt'ɑ:ktik,"a. 南极的, 南极地带的\nn. 南极地区",ielts
antecedent,.ænti'si:dnt,"n. 前情, 先行词\na. 先前的, 先行的",ielts
anthem,'ænθәm,"n. 圣歌, 赞美诗",ielts
anthology,æn'θɒlәdʒi,"n. 选集, 诗选",ielts
anthropology,.ænθrә'pɒlәdʒi,n. 人类学\n[医] 人类学,ielts
antibiotic,.æntibai'ɒtik,n. 抗生素\na. 抗生的,ielts
antibiotics,,n. 抗生学；抗生素,ielts
anticipate,æn'tisipeit,"vt. 预期, 占先, 加速, 提前使用\n[医] 提前出现, 先期发生",ielts
anticipation,æn.tisi'peiʃәn,"n. 预期, 预料\n[医] 提前出现(如遗传病)",ielts
antique,æn'ti:k,"n. 古董, 古物\na. 古老的, 古风的, 旧式的, 过时的",ielts
antonym,'æntәunim,n. 反义词,ielts
anxiety,æŋ'zaiәti,"n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑",ielts
anyhow,'enihau,"adv. 无论如何, 至少",ielts
apartment,ә'pɑ:tmәnt,"n. 房间, 公寓",ielts
ape,eip,n. 无尾猿\n[计] 应用程序评价,ielts
apes,eips,n. 猿( ape的名词复数 )\nv. 模仿( ape的第三人称单数 ),ielts
apologetic,ә.pɒlә'dʒetik,"a. 道歉的, 急于认错的, 辩护的\n[法] 辩护的, 辩解的, 道歉的",ielts
apostrophe,ә'pɒstrәfi,"n. 撇号, 呼语法",ielts
apparatus,.æpә'reitәs,"n. 装置, 器具, 器官\n[化] 仪器; 器械",ielts
apparent,ә'pærәnt,"a. 清晰可见的, 显然的, 表面上的\n[电] 外在的",ielts
appeal,ә'pi:l,"n. 恳求, 诉请, 上诉, 吸引力\nvi. 呼吁, 诉请, 要求, 上诉, 有吸引力\nvt. 将...上诉",ielts
appearance,ә'piәrәns,"n. 出现, 露面, 外观, 外表, 出版\n[计] 外观, 版面",ielts
appendix,ә'pendiks,"n. 附录, 附加物, 阑尾\n[化] 增补",ielts
appetite,'æpitait,"n. 食欲, 欲望, 爱好\n[医] 食欲",ielts
applaud,ә'plɒ:d,"v. 拍手喝彩, 称赞, 赞同",ielts
appliance,ә'plaiәns,"n. 器械, 用具, 应用\n[医] 矫正器; 器",ielts
applicant,'æplikәnt,"n. 申请者\n[经] 申请人, 请求人, 谋事人",ielts
application,.æpli'keiʃәn,"n. 应用, 申请, 志愿书, 应用程序\n[计] 应用, 应用程序",ielts
applied,ә'plaid,"a. 应用的\n[机] 应用的; 应用, 申请",ielts
apply,ә'plai,"vt. 涂, 应用\nvi. 申请, 适用",ielts
appointment,ә'pɒintmәnt,"n. 约会, 委任的职位, 委派\n[经] 任命, 派, 指定",ielts
appraisal,ә'preizәl,"n. 评价, 估价\n[经] 评价, 评估",ielts
appreciable,ә'pri:ʃiәbl,"a. 可感知的, 可评估的",ielts
appreciate,ә'pri:ʃieit,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏\nvi. 增值, 涨价",ielts
apprehension,.æpri'henʃәn,"n. 理解, 忧惧, 逮捕\n[医] 领会",ielts
apprentice,ә'prentis,"n. 学徒, 生手\nvt. 使做学徒",ielts
approach,ә'prәutʃ,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近",ielts
approaches,,处理,ielts
appropriate,ә'prәupriәt,"a. 适当的\n[经] 适当的, 拨出, 占用",ielts
approval,ә'pru:vl,"n. 赞成, 批准\n[化] 核准",ielts
approximate,ә'prɒksimәt,"a. 大约的, 接近的, 近似的\nvt. 接近, 使接近, 粗略估计\nvi. 接近于",ielts
April,'eiprәl,n. 四月,ielts
apt,æpt,"a. 有...倾向的, 易于的, 恰当的, 聪明的\n[计] 自动数控语言, 自动图象传输, 自动程序控制, 自动程序设计工具",ielts
aptitude,'æptitju:d,"n. 资质, 才能, 自然倾向\n[医] 资质, 才能",ielts
aquarium,ә'kwєәriәm,"n. 水族馆, 养鱼池, 水草缸\n[医] 培养缸",ielts
aquatic,ә'kwætik,"n. 水生动物, 水生植物\na. 水生的, 水中的, 水上的",ielts
arbitrary,'ɑ:bitrәri,"a. 任意的, 武断的, 专治的, 霸道的",ielts
arc,ɑ:k,"n. 弧, 弧形, 弓形, 弧光\n[化] 弧",ielts
arch,ɑ:tʃ,"n. 拱门, 拱形, 足弓\nvt. 使成弓形\nvi. 拱起, 成弓形\na. 主要的, 调皮的, 傲慢无礼的, 狡猾的",ielts
archaeological,.ɑ:kiә'lɒdʒikl,"a. 考古学的, 考古学上的",ielts
archaic,ɑ:'keiik,"a. 古体的, 过时的, 古老的, 古代的\n[医] 原始的, 古代的",ielts
architect,'ɑ:kitekt,"n. 建筑师, 设计者, 缔造者",ielts
architecture,'ɑ:kitektʃә,"n. 建筑学, 建筑式样\n[计] 体系结构",ielts
archives,'ɑ:kaivz,"n. 档案, 档案室\n[法] 公文档案, 案卷, 档案保管处",ielts
arctic,'ɑ:ktik,"a. 北极的, 极寒的\nn. 北极圈, 北极",ielts
ardent,'ɑ:dnt,"a. 热心的, 激动的, 燃烧般的\n[医] 灼热的; 热心的",ielts
arduous,'ɑ:djuәs,"a. 费力的, 努力的, 险峻的",ielts
area,'єәriә,"n. 区域, 面积, 范围, 空地\n[计] 区域",ielts
areas,,"n. 区域, 领域；面积（area的复数形式）",ielts
arena,ә'ri:nә,"n. 角斗场, 舞台, 场地\n[医] 尿沉渣, 尿沙; 脑沙",ielts
argue,'ɑ:gju,"vi. 提出理由, 争论, 辩论\nvt. 主张, 辩论, 证明, 说服",ielts
argument,'ɑ:gjumәnt,"n. 争论, 论证, 论据, 自变量\n[计] 参数",ielts
arise,ә'raiz,"vi. 站立, 出现, 起来",ielts
armour,'ɑ:mә,"n. 甲胄, 装甲, 潜水服",ielts
army,'ɑ:mi,"n. 军队, 陆军",ielts
arouse,ә'rauz,"vt. 唤醒, 鼓励, 引起\nvi. 醒来",ielts
array,ә'rei,"n. 排列, 衣服, 大批, 军队\nvt. 布署, 打扮, 排列\n[计] 数组; 阵列",ielts
arrival,ә'raivl,"n. 到达, 抵达, 到达者\n[经] 到达, 到达物",ielts
arrogant,'ærәɡәnt,"a. 自大的, 傲慢的",ielts
art,ɑ:t,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术\n[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",ielts
artery,'ɑ:tәri,"n. 动脉, 干道, 要道\n[医] 动脉",ielts
article,'ɑ:tikl,"n. 文章, 冠词, 物品, 物件, 条款, 契约\n[计] 信件",ielts
articles,,n. 文章；冠词；物品；条款（article的复数）,ielts
articulate,ɑ:'tikjulit,"a. 发音清晰的, 口才好的\nvt. 明白地说, 以关节连接, 使成为系统的整体",ielts
artificial,.ɑ:ti'fiʃәl,"a. 人造的, 假的, 非原地产的\n[医] 人工的, 人造的, 伟牟",ielts
artillery,ɑ:'tilәri,"n. 火炮, 炮兵, 炮术\n[机] 火炮, 炮兵",ielts
artistic,ɑ:'tistik,"a. 艺术的, 艺术家的, 富有艺术性的",ielts
as,æz,"adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统",ielts
ascend,ә'send,"vi. 上升, 追溯, 登高\nvt. 攀登",ielts
ascent,ә'sent,"n. 上升, 提高, 攀登, 上坡路",ielts
ascertain,.æsә'tein,"vt. 确定, 查明\n[法] 查明, 弄清, 确定",ielts
ascribe,ә'skraib,"vt. 归因于, 归咎于\n[法] 归咎于",ielts
ashamed,ә'ʃeimd,"a. 惭愧的, 羞耻的",ielts
Asia,'eiʒә,n. 亚洲,ielts
aspiration,.æspә'reiʃәn,"n. 热望, 志向, 渴望\n[医] 吸入; 吸[引], 吸引术",ielts
aspire,ә'spaiә,"vi. 渴望, 立志于",ielts
aspirin,'æspәrin,n. 阿斯匹林\n[化] 乙酰水杨酸; 阿司匹灵; 邻乙酸基苯甲酸,ielts
assassination,ә.sæsi'neiʃәn,"n. 暗杀\n[法] 暗杀, 行刺",ielts
assault,ә'sɒ:t,"n. 攻击, 袭击\nvt. 袭击, 攻击\nvi. 发动攻击",ielts
assemble,ә'sembl,"vt. 集合, 收集, 装配\nvi. 集合\n[计] 汇编",ielts
assert,ә'sә:t,"vt. 主张, 坚称, 断言\n[法] 宣称, 断言, 维护",ielts
assess,ә'ses,"vt. 估定, 对...征税, 评定\n[经] 估计, 估价, 确定(税款罚款等)的金额",ielts
assessment,ә'sesmәnt,"n. 评估, 估定, 评定的款额\n[化] 评估",ielts
asset,'æset,"n. 资产, 有益的东西",ielts
assign,ә'sain,"vt. 分配, 指派, 赋值\n[计] 赋值",ielts
assignment,ә'sainmәnt,"n. 分配, 功课, 任务, 转让, 归因, 陈述\n[计] 赋值",ielts
assignments,,n. 分配；作业（assignment的复数形式）,ielts
assimilate,ә'simileit,"vt. 使同化, 吸收, 使相拟, 把...比作\nvi. 被吸收, 被同化",ielts
assistance,ә'sistәns,"n. 协助, 援助\n[经] 援助, 帮助",ielts
assistant,ә'sistәnt,"n. 助手, 助理, 助教\na. 有帮助的, 辅助的, 助理的",ielts
associate,ә'sәuʃieit,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联",ielts
association,ә.sәuʃә'eiʃәn,n. 协会\n[计] 关联,ielts
assorted,ә'sɒ:tid,"a. 各种各样的, 分类的",ielts
assume,ә'sju:m,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越",ielts
assumption,ә'sʌmpʃәn,"n. 假定, 自负, 担任, 假装\n[经] 假定, 承担",ielts
assurance,ә'ʃuәrәns,"n. 保证, 把握, 信心, 保险\n[经] 保证, 担保, 保险",ielts
assure,ә'ʃuә,"vt. 保证, 使确信, 弄清楚, 担保\n[法] 确信, 保证, 保障",ielts
astound,ә'staund,"vt. 使惊骇, 使大惊",ielts
astronomy,ә'strɒnәmi,n. 天文学,ielts
asylum,ә'sailәm,"n. 庇护, 收容所\n[医] 养育院",ielts
Athens,'æθәns,n. 雅典(希腊首都),ielts
athlete,'æθli:t,"n. 运动员, 运动选手\n[医] 运动员",ielts
atlas,'ætlәs,"n. 地图集, 图表集\n[计] 自动测试和负载分析系统",ielts
atmospheric,ætmәs'ferik,a. 大气的\n[医] 大气的; 大气压的,ielts
attach,ә'tætʃ,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚\nvi. 附属, 归属, 联系在一起\n[计] 挂接服务器命令, 关联, 挂接, 附加",ielts
attack,ә'tæk,"n. 攻击, 抨击\nvt. 攻击, 抨击, 动手干\nvi. 攻击",ielts
attacks,,"n. 攻击, 评击（attack的复数形式）",ielts
attain,ә'tein,"vt. 达到, 获得\nvi. 达到",ielts
attempt,ә'tempt,"n. 尝试, 企图\nvt. 尝试, 企图",ielts
attempts,,"n. 企图, 试图；尝试（attempt的复数）\nv. 试图；努力去做（attempt的三单形式）",ielts
attend,ә'tend,"vt. 参加, 照料, 伴随\nvi. 专心于, 照顾, 服侍, 出席",ielts
